tt,stla,stlo,evla,evlo,dist,evtname,staname,period,weight,vel
13.3875451133,19.460442,-154.950189,19.373785,-155.2155,29.4697371341,PAUD,KIND,2.5,1,2.201280136477223
5.5875391273,19.433613,-155.004449,19.38486,-155.12543,13.8054357936,STCD,JOKA,2.5,1,2.470754204860671
6.28745752717,19.50711,-154.82088,19.460442,-154.950189,14.5251109889,KIND,ERZ3,2.5,1,2.310172422816793
8.58783364666,19.384045,-155.101578,19.386532,-155.281715,18.9249073484,OTLD,JCUZ,2.5,1,2.2036881624692763
10.9877441596,19.402438,-155.07508,19.406623,-155.300005,23.6295274484,WRM,KUPD,2.5,1,2.15053491464441
5.98743513599,19.333395,-155.38565,19.420972,-155.291162,13.8748809473,UWE,DESD,2.5,1,2.3173329868576253
7.2875,19.333395,-155.38565,19.423037,-155.26094,16.434834561,HAT,DESD,2.5,1,2.255208859142367
6.48766688488,19.371567,-155.263462,19.28123,-155.224645,10.7998990593,POLD,AHUD,2.5,1,1.6646815027556336
11.8873791972,19.237503,-155.397507,19.373785,-155.2155,24.3615763559,PAUD,HTCD,2.5,1,2.049364788635516
9.78746664216,19.602682,-155.483002,19.7573,-155.5326,17.8889248226,POHA,HSSD,2.5,1,1.8277380119532225
27.7874713015,19.8868,-155.34,19.386532,-155.281715,55.7159524518,OTLD,KKUD,2.5,1,2.005074583695293
13.0877100664,19.529823,-155.456467,19.504323,-155.702741,26.0032062924,TOUO,PLAD,2.5,1,1.9868415605536585
12.0875,19.8868,-155.34,19.7573,-155.5326,24.751829289,POHA,KKUD,2.5,1,2.047721140765254
10.98737994,19.237503,-155.397507,19.420972,-155.291162,23.1807978406,UWE,HTCD,2.5,1,2.1097657464460084
13.1874309077,19.237503,-155.397507,19.46017,-155.27533,27.7909667733,RSDD,HTCD,2.5,1,2.1073829290793213
10.1877449038,19.402438,-155.07508,19.386532,-155.281715,21.7765280517,OTLD,KUPD,2.5,1,2.1375219204377034
8.8875,19.39296,-155.109605,19.390003,-155.293995,19.3717042238,SDH,NPOC,2.5,1,2.1796572966300984
14.387499817,19.775885,-155.456039,19.529823,-155.456467,27.2390974841,PLAD,HPUD,2.5,1,1.893247459987092
17.4876818382,19.602682,-155.483002,19.698593,-155.024497,49.24435414,NAGD,HSSD,2.5,1,2.8159452233646483
10.887601725,19.455728,-154.918443,19.39296,-155.109605,21.2446267966,NPOC,KLUD,2.5,1,1.951267812067216
18.3873289605,19.68466,-155.835697,19.7573,-155.5326,32.7754800423,POHA,HUAD,2.5,1,1.7825035986852085
10.8872459876,19.384045,-155.101578,19.455728,-154.918443,20.8063378553,KLUD,JCUZ,2.5,1,1.9110744699805005
6.7875655011,19.237503,-155.397507,19.33566,-155.301105,14.8571434907,MITD,HTCD,2.5,1,2.188876628636915
16.4875,19.412033,-155.54704,19.856873,-155.65748,50.5877534424,WAID,TRAD,2.5,1,3.068248882025777
27.5874040412,19.450382,-155.524977,19.460442,-154.950189,60.3642805894,KIND,ELEP,2.5,1,2.1881102150550253
9.18773554332,19.371567,-155.263462,19.285863,-155.129087,17.0116484871,KAED,AHUD,2.5,1,1.851560529456948
9.78732694817,19.371567,-155.263462,19.237503,-155.397507,20.4623143215,HTCD,AHUD,2.5,1,2.090694878168545
6.48775079064,19.379447,-155.169297,19.42476,-155.277582,12.4308269424,UWB,KNHD,2.5,1,1.9160456903391208
11.0879071298,19.237503,-155.397507,19.246099,-155.615005,22.8873064786,KHU,HTCD,2.5,1,2.06416830612585
7.48735658703,19.398242,-155.266032,19.39296,-155.109605,16.4415987883,NPOC,KKO,2.5,1,2.195915019832369
18.2875817477,19.384045,-155.101578,19.412033,-155.54704,46.8933820872,TRAD,JCUZ,2.5,1,2.564219957244905
10.9875,19.529823,-155.456467,19.402745,-155.627597,22.819516074,RCOD,PLAD,2.5,1,2.076861531194539
12.5876343005,19.391443,-155.324317,19.466578,-155.58107,28.2176120004,WILD,CPKD,2.5,1,2.241693024024312
20.5874526666,19.450382,-155.524977,19.384045,-155.101578,45.0704778283,JCUZ,ELEP,2.5,1,2.1892207141012627
6.08738880739,19.485115,-155.597133,19.504323,-155.702741,11.2884654951,TOUO,MOKD,2.5,1,1.8544019204746656
8.08741238707,19.433613,-155.004449,19.379447,-155.169297,18.3234048226,KNHD,JOKA,2.5,1,2.2656696537319045
13.4874191123,19.155413,-155.462112,19.451827,-155.602737,35.9867818393,SWRD,PPLD,2.5,1,2.6681740620398946
9.38763253909,19.155413,-155.462112,19.246099,-155.615005,18.9553327288,KHU,PPLD,2.5,1,2.019181369729823
7.98780877044,19.28123,-155.224645,19.390003,-155.293995,14.0742108931,SDH,POLD,2.5,1,1.7619614211576495
16.2875363792,19.485115,-155.597133,19.7573,-155.5326,30.8817946656,POHA,MOKD,2.5,1,1.8960384153024887
14.1874018883,19.541178,-155.644036,19.7573,-155.5326,26.626644696,POHA,ALEP,2.5,1,1.8767808867075468
